Gia,Dien tich,Dia chi,Duong vao,Chieu ngang,Huong nha,Loai hinh dat
410 Triệu,169 m²,", Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 6m,NaN,Đất nền dự án
485 Triệu,162 m²,", Huyện Hòa Vang",Đường vào: Rộng 6m,Mặt tiền: 6m,NaN,Đất nền dự án
490 Triệu,179 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
2.53 Tỷ,114 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.75 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.4 Tỷ,100 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.15 Tỷ,109 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 5.5m,Mặt tiền: 5m,Hướng: Bắc,Đất nền dự án
3.3 Tỷ,109 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Đường vào: Rộng 25m,Mặt tiền: 5m,NaN,Đất nền dự án
4.3 Tỷ,136 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 9.5m,Mặt tiền: 7.5m,Hướng: Đông,Đất nền dự án
2.25 Tỷ,100 m²,", Quận Liên Chiểu",Đường vào: Rộng 7m,Mặt tiền: 7m,NaN,Đất nền dự án
2.7 Tỷ,150 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2650 Tỷ,125 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
1.58 Tỷ,120 m²,"Xã Hòa Châu, Huyện Hòa Vang",Đường vào: Rộng 5m,Mặt tiền: 5.37m,NaN,Đất nền dự án
4.19 Tỷ,90 m²,"Phường Phước Mỹ, Quận Sơn Trà",Đường vào: Rộng 4.5m,Mặt tiền: 4.1m,NaN,Đất nền dự án
4.19 Tỷ,90 m²,"Phường Phước Mỹ, Quận Sơn Trà",Đường vào: Rộng 5m,NaN,Hướng: Đông,Đất nền dự án
400 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
11 Tỷ,246 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 15m,Mặt tiền: 8m,Hướng: Đông nam,Đất nền dự án
1.99 Tỷ,125 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,Hướng: Đông bắc,Đất nền dự án
3.05 Tỷ,100 m²,"Xã Hòa Phước, Huyện Hòa Vang",NaN,NaN,NaN,Đất nền dự án
1.75 Tỷ,107.5 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2.45 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
Thỏa thuận,100 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.45 Tỷ,118 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,Mặt tiền: 6m,NaN,Đất nền dự án
2.49 Tỷ,118 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2.35 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,Hướng: Đông nam,Đất nền dự án
14 Tỷ,210 m²,"Phường Thọ Quang, Quận Sơn Trà",NaN,NaN,Hướng: Đông nam,Đất nền dự án
3.15 Tỷ,144 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,NaN,NaN,Đất nền dự án
3.9 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.1 Tỷ,123 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2 Tỷ,100 m²,", Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
1.92 Tỷ,85 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
Thỏa thuận,125 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 5m,NaN,Đất nền dự án
11 Tỷ,240 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.8 Tỷ,106 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.8 Tỷ,105 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4 Tỷ,142 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4.2 Tỷ,142 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
430 Triệu,110 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.7 Tỷ,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.6 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.95 Tỷ,121 m²,"Phường Hòa An, Quận Cẩm Lệ",NaN,NaN,NaN,Đất nền dự án
600 Triệu,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
4.05 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",NaN,NaN,NaN,Đất nền dự án
1.5 Tỷ,69 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 33m,Mặt tiền: 7m,Hướng: Đông nam,Đất nền dự án
2.15 Tỷ,134 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5.5m,Hướng: Đông,Đất nền dự án
3.35 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7m,NaN,NaN,Đất nền dự án
18 Tỷ,140 m²,"Phường Mỹ An, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
8.5 Tỷ,120 m²,"Phường An Hải Bắc, Quận Sơn Trà",Đường vào: Rộng 48m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
8.2 Tỷ,160 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 21m,Mặt tiền: 25m,Hướng: Đông nam,Đất nền dự án
4.6 Tỷ,90 m²,"Phường An Khê, Quận Thanh Khê",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
3050 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
7.2 Tỷ,167 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",NaN,NaN,NaN,Đất nền dự án
5 Tỷ,143 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,Hướng: Đông nam,Đất nền dự án
5 Tỷ,142 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 7.5m,Hướng: Đông nam,Đất nền dự án
45 Tỷ,305 m²,"Phường Hòa Cường Nam, Quận Hải Châu",NaN,NaN,NaN,Đất nền dự án
Thỏa thuận,168 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
3.15 Tỷ,85 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
3.7 Tỷ,90 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 16m,Mặt tiền: 5m,NaN,Đất nền dự án
3.85 Tỷ,90 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
4.55 Tỷ,90 m²,", Quận Thanh Khê",NaN,NaN,Hướng: Đông Bắc,Đất nền dự án
2.29 Tỷ,90 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,Hướng: Đông nam,Đất nền dự án
100 Tỷ,385 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,Mặt tiền: 15.5m,Hướng: Tây,Đất nền dự án
267 Tỷ,921 m²,"Phường Mỹ An, Quận Ngũ Hành Sơn",Đường vào: Rộng 21m,Mặt tiền: 35.5m,Hướng: Tây Nam,Đất nền dự án
8.5 Tỷ,211 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 48m,Mặt tiền: 48m,NaN,Đất nền dự án
8.5 Tỷ,211 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 48m,Mặt tiền: 7.5m,NaN,Đất nền dự án
6 Tỷ,125 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
3.9 Tỷ,95 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
2.2 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
11 Tỷ,375 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 30m,Mặt tiền: 15m,NaN,Đất nền dự án
2.1 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11.5m,NaN,NaN,Đất nền dự án
2.1 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 15.5m,Mặt tiền: 10m,NaN,Đất nền dự án
4.31 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
480 Triệu,166.3 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
1.85 Tỷ,100 m²,", Quận Cẩm Lệ",Đường vào: Rộng 15.5m,Mặt tiền: 5m,Hướng: Đông,Đất nền dự án
450 Triệu,170 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
500 Triệu,170 m²,"Xã Hòa Châu, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
420 Triệu,340 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 12m,Hướng: Đông,Đất nền dự án
400 Triệu,170 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
450 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
520 Triệu,170 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
450 Triệu,170 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2.15 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.7 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
5.4 Tỷ,216 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
6 Tỷ,160 m²,"Phường Hòa An, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 8m,Hướng: Tây Nam,Đất nền dự án
Thỏa thuận,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
418 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
450 Triệu,150 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 33m,Mặt tiền: 6m,NaN,Đất nền dự án
2 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông nam,Đất nền dự án
8.72 Tỷ,187.5 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 49m,Mặt tiền: 7.5m,Hướng: Tây,Đất nền dự án
2.92 Tỷ,105 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
5.9 Tỷ,330 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11m,NaN,NaN,Đất nền dự án
2.1 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
1.5 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
1.5 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 15.5m,Mặt tiền: 15m,Hướng: Đông nam,Đất nền dự án
3.5 Tỷ,105 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
1.5 Tỷ,50 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 5m,NaN,NaN,Đất nền dự án
2.29 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
150 Tỷ,1.071 m²,"Phường Phước Mỹ, Quận Sơn Trà",Đường vào: Rộng 12m,Mặt tiền: 18m,NaN,Đất nền dự án
Thỏa thuận,300 m²,", Quận Cẩm Lệ",NaN,NaN,NaN,Đất nền dự án
7.8 Tỷ,300 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 20m,Mặt tiền: 12.5m,Hướng: Nam,Đất nền dự án
6.8 Tỷ,154 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 9m,Hướng: Nam,Đất nền dự án
715 Triệu,179 m²,", Huyện Hòa Vang",Đường vào: Rộng 33m,Mặt tiền: 6m,NaN,Đất nền dự án
1.35 Tỷ,150 m²,", Quận Thanh Khê",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
6.2 Tỷ,142 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 50m,Mặt tiền: 5m,Hướng: Bắc,Đất nền dự án
550 Triệu,1701 m²,"Xã Hòa Liên, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
4.77 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.7 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
520 Triệu,169 m²,"Xã Hòa Bắc, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
1.8 Tỷ,162 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 15.5m,Mặt tiền: 6m,NaN,Đất nền dự án
615 Triệu,180 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
615 Triệu,180 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
1.8 Tỷ,165 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 17.5m,Mặt tiền: 6m,NaN,Đất nền dự án
790 Triệu,150 m²,"Xã Hòa Liên, Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 6m,NaN,Đất nền dự án
700 Triệu,250 m²,"Xã Hòa Phú, Huyện Hòa Vang",Đường vào: Rộng 12m,NaN,Hướng: Đông,Đất nền dự án
450 Triệu,170 m²,"Xã Hòa Liên, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
3.9 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
4.32 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
2.85 Tỷ,90 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
4.5 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
2.78 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
269.5 Triệu,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
4.05 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
2.7 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
850 Triệu,150 m²,"Xã Hòa Phú, Huyện Hòa Vang",Đường vào: Rộng 5m,Mặt tiền: 5m,NaN,Đất nền dự án
Thỏa thuận,85 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
3.8 Tỷ,300 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5m,Mặt tiền: 5m,NaN,Đất nền dự án
1.9 Tỷ,125 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.3 Tỷ,100 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
3.8 Tỷ,95 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 15m,Mặt tiền: 5m,Hướng: Tây,Đất nền dự án
10 Tỷ,400 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 15m,Hướng: Nam,Đất nền dự án
2.3 Tỷ,90 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 5m,NaN,Đất nền dự án
3.2 Tỷ,238 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4.6 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 15m,NaN,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 15m,Hướng: Tây Nam,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 15m,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 15m,NaN,Đất nền dự án
1.5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 15m,Hướng: Tây Nam,Đất nền dự án
2.88 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7m,Mặt tiền: 5m,NaN,Đất nền dự án
4.4 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
550 Triệu,134 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 7m,NaN,Đất nền dự án
5.4 Tỷ,216 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 9m,NaN,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 10.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.75 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Nam,Đất nền dự án
4.72 Tỷ,189 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
