Gia,Dien tich,Dia chi,Duong vao,Chieu ngang,Huong nha,Loai hinh dat
5.3 Tỷ,216 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 9m,NaN,Đất nền dự án
18.6 Tỷ,300 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 12m,Hướng: Đông bắc,Đất nền dự án
20.1 Tỷ,247.5 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 22m,Mặt tiền: 15m,Hướng: Đông bắc,Đất nền dự án
11 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 22m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
68 Tỷ,457 m²,"Phường Hòa Cường Nam, Quận Hải Châu",Đường vào: Rộng 33m,Mặt tiền: 22.5m,NaN,Đất nền dự án
3.2 Tỷ,102 m²,", Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.15 Tỷ,175 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7m,NaN,Đất nền dự án
4.6 Tỷ,138 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 8m,NaN,Đất nền dự án
4150 Tỷ,172 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 9m,Hướng: Đông nam,Đất nền dự án
2.85 Tỷ,150 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,Hướng: Đông nam,Đất nền dự án
7.2 Tỷ,90 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 5m,Hướng: Bắc,Đất nền dự án
26.5 Tỷ,250 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 10m,Hướng: Đông,Đất nền dự án
28 Tỷ,240 m²,", Quận Sơn Trà",NaN,NaN,NaN,Đất nền dự án
6 Tỷ,250 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 13m,NaN,Đất nền dự án
2.3 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",NaN,NaN,Hướng: Đông nam,Đất nền dự án
2 Tỷ,60 m²,"Phường An Khê, Quận Thanh Khê",Đường vào: Rộng 3m,Mặt tiền: 5m,NaN,Đất nền dự án
62 Tỷ,220 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 10m,Hướng: Đông nam,Đất nền dự án
2.6 Tỷ,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 15.5m,Mặt tiền: 5m,Hướng: Bắc,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
4.04 Tỷ,95 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
2.2 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
4.8 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
945 Triệu,360 m²,"Xã Hòa Khương, Huyện Hòa Vang",NaN,NaN,NaN,Đất nền dự án
2.7 Tỷ,144.5 m²,"Phường Thạc Gián, Quận Thanh Khê",NaN,NaN,NaN,Đất nền dự án
2.7 Tỷ,145 m²,"Phường Thạc Gián, Quận Thanh Khê",Đường vào: Rộng 2m,Mặt tiền: 12m,NaN,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
1.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,Hướng: Đông nam,Đất nền dự án
3.89 Tỷ,95 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 10m,Mặt tiền: 10m,NaN,Đất nền dự án
2.05 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 6m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
2.2 Tỷ,90 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11.5m,NaN,Hướng: Tây bắc,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,NaN,NaN,Đất nền dự án
2.16 Tỷ,90 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 6m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
4.75 Tỷ,150 m²,", Quận Ngũ Hành Sơn",NaN,NaN,Hướng: Đông,Đất nền dự án
722 Triệu,200 m²,"Xã Hòa Tiến, Huyện Hòa Vang",Đường vào: Rộng 5m,Mặt tiền: 5m,NaN,Đất nền dự án
1.6 Tỷ,105 m²,", Huyện Hòa Vang",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
425 Triệu,169 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
448 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
202 Tỷ,275 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 11m,Hướng: Đông nam,Đất nền dự án
1680 Tỷ,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.58 Tỷ,105 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.82 Tỷ,105.5 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
1.51 Tỷ,94 m²,", Huyện Hòa Vang",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.1 Tỷ,101 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 12m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
2.47 Tỷ,92 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
449 Triệu,180 m²,"Xã Hòa Liên, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
539 Triệu,169 m²,"Xã Hòa Liên, Huyện Hòa Vang",Đường vào: Rộng 6m,Mặt tiền: 6m,NaN,Đất nền dự án
530 Triệu,170 m²,"Xã Hòa Tiến, Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Tây bắc,Đất nền dự án
518.37 Triệu,111 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
3.3 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.3m,Mặt tiền: 5m,NaN,Đất nền dự án
5.88 Tỷ,125 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
6 Tỷ,150 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
3.3 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 10m,NaN,Đất nền dự án
4 Tỷ,150 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.3 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.5 Tỷ,172 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 17m,Mặt tiền: 7m,Hướng: Nam,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
Thỏa thuận,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
330 Triệu,110 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 1m,Mặt tiền: 5m,NaN,Đất nền dự án
3.33 Tỷ,105 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
2.55 Tỷ,108 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 5.5m,Mặt tiền: 5m,Hướng: Tây,Đất nền dự án
3.95 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
4.9 Tỷ,122 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
7.9 Tỷ,170 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 8m,Hướng: Đông bắc,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.9 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 13.5m,NaN,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 3m,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 13.5m,NaN,NaN,Đất nền dự án
4.6 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 13.5m,NaN,NaN,Đất nền dự án
650 Triệu,180 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 26m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.1 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 10m,NaN,Đất nền dự án
2 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,Hướng: Đông nam,Đất nền dự án
3.6 Tỷ,120 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Tây,Đất nền dự án
2 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
950 Triệu,160 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 5.5m,Hướng: Tây,Đất nền dự án
4 Tỷ,95 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 15m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
2.35 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
3.9 Tỷ,95 m²,", Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
22 Tỷ,78 m²,"Phường Mỹ An, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
3.9 Tỷ,95 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.2 Tỷ,125 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",NaN,NaN,Hướng: Đông bắc,Đất nền dự án
1.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 10m,Mặt tiền: 10m,NaN,Đất nền dự án
950 Triệu,160 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 5.5m,NaN,NaN,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,NaN,Đất nền dự án
13.6 Tỷ,200 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 40m,Mặt tiền: 10m,Hướng: Tây bắc,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
8.7 Tỷ,253 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 15m,NaN,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Minh, Quận Liên Chiểu",Đường vào: Rộng 8m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 27m,Mặt tiền: 6m,NaN,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 27m,Mặt tiền: 6m,Hướng: Đông bắc,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 27m,Mặt tiền: 6m,Hướng: Đông bắc,Đất nền dự án
Thỏa thuận,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3 Tỷ,108 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,Hướng: Đông bắc,Đất nền dự án
3 Tỷ,122 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 33m,Mặt tiền: 6m,Hướng: Nam,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",NaN,Mặt tiền: 5m,NaN,Đất nền dự án
4.5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 13m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
4 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,NaN,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,Hướng: Tây bắc,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
4.6 Tỷ,125 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 10m,Mặt tiền: 20m,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
500 Triệu,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
500 Triệu,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
27.4 Tỷ,293 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 12m,Hướng: Đông nam,Đất nền dự án
13.3 Tỷ,100 m²,"Phường Mỹ An, Quận Ngũ Hành Sơn",Đường vào: Rộng 15m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
4.65 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 5m,Hướng: Nam,Đất nền dự án
980 Triệu,166 m²,"Xã Hòa Khương, Huyện Hòa Vang",Đường vào: Rộng 5m,NaN,Hướng: Tây,Đất nền dự án
6.3 Tỷ,107 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 15m,Mặt tiền: 5m,Hướng: Tây,Đất nền dự án
4760 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
4.7 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
3.35 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 11.5m,NaN,NaN,Đất nền dự án
4.6 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.6 Tỷ,100 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 14.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
4.2 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",NaN,NaN,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
5 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
6 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
2.2 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
2.2 Tỷ,90 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
2.2 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông nam,Đất nền dự án
2.2 Tỷ,90 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 4.5m,Hướng: Đông nam,Đất nền dự án
2.5 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 4m,Mặt tiền: 15m,NaN,Đất nền dự án
4.1 Tỷ,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 10m,Hướng: Đông nam,Đất nền dự án
410 Triệu,100 m²,"Phường Hòa Xuân, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 10m,Hướng: Đông nam,Đất nền dự án
